Country,Export
 Mali,0
 Malta,0
 United Arab Emirates,2
 Ukraine,664
 Turkey,274
 Togo,0
 Thailand,0
 Tajikistan,0
 Syrian Arab Republic,
 Switzerland,350
 Sweden,394
 Sudan,0
 St. Kitts and Nevis,0
 Sri Lanka,0
 Spain,1110
 South Africa,59
 Somalia,0
 Solomon Islands,0
 Singapore,2
 Sierra Leone,0
 Serbia,29
 Senegal,0
 Saudi Arabia,0
 San Marino,0
 Rwanda,0
 Russian Federation,5971
 Romania,2
 Qatar,0
 Portugal,18
 Poland,27
 Philippines,0
 Peru,0
 Panama,0
 Palau,0
 Pakistan,0
 Norway,127
 Nigeria,0
 Niger,0
 Nicaragua,0
 New Caledonia,0
 Netherlands,561
 Namibia,0
 Myanmar,0
 Mozambique,0
 Morocco,0
 Monaco,0
 Moldova,0
 Mauritius,0
 Mauritania,0
 United States,10194
 United Kingdom,1704
 Maldives,0
 Malaysia,0
 Malawi,0
 Madagascar,0
 Luxembourg,0
 Lithuania,0
 Liechtenstein,0
 Lesotho,0
 Latvia,0
 Kyrgyz Republic,0
 Kuwait,0
 Kosovo,0
 Korea,153
 Korea Dem. Rep,1
 Kiribati,0
 Kenya,0
 Kazakhstan,0
 Jordan,114
 Japan,0
 Jamaica,0
 Italy,786
 Israel,824
 Isle of Man,0
 Ireland,8
 Iraq,0
 Iran,42
 Indonesia,0
 India,55
 Iceland, 0
 Hungary,0
 Haiti,0
 Guinea-Bissau,0
 Guinea,0
 Guatemala,0
 Grenada,0
 Greenland,0
 Greece,0
 Ghana,0
 Germany,1200
 Georgia,0
 Gabon,0
 France,1978
 Finland,84
 Eritrea,0
 El Salvador,0
 Ecuador,6
 Dominican Republic,0
 Dominica,0
 Djibouti,0
 Denmark,13
 Czech Republic,17
 Cyprus,0
 Curacao,0
 Cuba,0
 Croatia,0
 Cote dIvoire,0
 Costa Rica,0
 Congo,0
 Comoros,0
 Colombia,0
 China,1083
 Chile,20
 Chad,1
 Cayman Islands,0
 Canada,234
 Cameroon,0
 Cambodia,0
 Cabo Verde,0
 Bulgaria,4
 Brazil,47
 Belgium,0
 Austria,19
 Australia,104
 Armenia,0
 Argentina,0
 Algeria,0
 Afghanistan,0
